time s
1.54154 -0.17014
1.54655 -0.19094
1.55155 -0.21173
1.55656 -0.23249
1.56156 -0.25319
1.56657 -0.27380
1.57157 -0.29432
1.57658 -0.31471
1.58158 -0.33494
1.58659 -0.35501
1.59159 -0.37488
1.59660 -0.39453
1.60160 -0.41393
1.60661 -0.43307
1.61161 -0.45192
1.61662 -0.47046
1.62162 -0.48867
1.62663 -0.50651
1.63163 -0.52398
1.63664 -0.54105
1.64164 -0.55769
1.64665 -0.57389
1.65165 -0.58963
1.65666 -0.60488
1.66166 -0.61962
1.66667 -0.63384
1.67167 -0.64751
1.67668 -0.66062
1.68168 -0.67315
1.68669 -0.68508
1.69169 -0.69638
1.69670 -0.70706
1.70170 -0.71708
1.70671 -0.72644
1.71171 -0.73512
1.71672 -0.74311
1.72172 -0.75038
1.72673 -0.75694
1.73173 -0.76276
1.73674 -0.76783
1.74174 -0.77216
1.74675 -0.77571
1.75175 -0.77850
1.75676 -0.78050
1.76176 -0.78171
1.76677 -0.78213
1.77177 -0.78174
1.77678 -0.78055
1.78178 -0.77855
1.78679 -0.77573
1.79179 -0.77210
1.79680 -0.76766
1.80180 -0.76239
1.80681 -0.75631
1.81181 -0.74942
1.81682 -0.74171
1.82182 -0.73320
1.82683 -0.72388
1.83183 -0.71376
1.83684 -0.70285
1.84184 -0.69115
1.84685 -0.67867
1.85185 -0.66542
1.85686 -0.65142
1.86186 -0.63666
1.86687 -0.62117
1.87187 -0.60495
1.87688 -0.58802
1.88188 -0.57040
1.88689 -0.55209
1.89189 -0.53311
1.89690 -0.51349
1.90190 -0.49323
1.90691 -0.47236
1.91191 -0.45090
1.91692 -0.42886
1.92192 -0.40626
1.92693 -0.38314
1.93193 -0.35950
1.93694 -0.33537
1.94194 -0.31078
1.94695 -0.28575
1.95195 -0.26031
1.95696 -0.23447
1.96196 -0.20826
1.96697 -0.18172
1.97197 -0.15487
1.97698 -0.12773
1.98198 -0.10033
1.98699 -0.07270
1.99199 -0.04487
