time orig windowed
0.00000 0.00000 0.00000
0.33333 0.86603 0.06253
0.66667 -0.86603 -0.15590
1.00000 -0.00000 -0.00000
1.33333 0.86603 0.46191
1.66667 -0.86603 -0.63384
2.00000 -0.00000 -0.00000
2.33333 0.86603 0.85554
2.66667 -0.86603 -0.85554
3.00000 -0.00000 -0.00000
3.33333 0.86603 0.63384
3.66667 -0.86603 -0.46191
4.00000 -0.00000 -0.00000
4.33333 0.86603 0.15590
4.66667 -0.86603 -0.06253
5.00000 -0.00000 -0.00000
